Subject,Question,Answer,Difficulty
Probability,What is the probability of rolling a 3 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 2 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 4 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 5 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 4 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 2 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 2 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 5 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 2 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 5 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 2 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 1 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 2 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 1 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 6 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 3 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 3 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 3 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 3 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 2 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 3 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 1 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 5 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 6 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 3 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 2 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 6 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 2 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 2 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 6 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 3 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 6 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 4 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 1 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 5 on a fair 6-sided die?,1/6,Easy
Probability,What is the probability of rolling a 5 on a fair 6-sided die?,1/6,Easy
